Nom de la ressource,Objet,Enjeux politiques,Enjeux Opérationnels,Phase,Lien vers la ressources,Type,Producteurs,Contexte Projet,Status,Date de mise à jour
Les métiers autour des données,,Transformation ,"Organisation,Réutilisation",Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-comprendre/les-metiers-autour-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,"Fiches pédagogiques - mettre à jour ?
",
Les premières étapes pour s’engager dans une démarche d’ouverture des données,,"Transparence,Transformation ","Organisation,Partage",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-agir/les-premieres-etapes-pour-sengager-dans-une-demarche-douverture-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour agir,"Fiches pédagogiques - mettre à jour ?
",
Les réutilisations de données,,"Transparence,Confiance,Transformation ,Innovation,Pilotage Politiques Publiques",Réutilisation,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/les-reutilisations-de-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",
Les tiers-lieux et acteurs de la médiation numérique,,"Transformation ,Mutualisation","Réutilisation,Partage,Animation",Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/les-tiers-lieux-et-acteurs-de-la-mediation-numerique,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",
Mentions légales pour un portail open data,,"Gouvernance des données,Conformité",Partage,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/aspects-juridiques/mentions-legales-pour-un-portail-open-data,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Aspects juridiques,Fiches pratiques - mettre à jour ?,
Mois de la data,deux séries de 10 webinaires sur les enjeux de la donnée,"Transparence,Confiance,Conformité,Transformation ,Mutualisation,Innovation,Pilotage Politiques Publiques,Gouvernance des données,Autonomie,autres","Qualité,Protection,Partage,Valorisation,Conservation,Réutilisation,Animation,Organisation",Produire,https://opendatafrance.gitbook.io/le-mois-de-la-data/,Guides / vidéo,OpenDataFrance,OpenDataLocale,A jour (2022),Mars 2022
Opendatalocale présentation,Présentation du dispositif d'accompagnement des cllectivités ,Mutualisation,"Partage,Animation,Organisation",Animer,https://opendatafrance.gitbook.io/opendatalocale/,Guides / web,OpenDataFrance,ODL,Mettre à jour,
Ouvrir les données : une obligation légale,,Conformité,"Partage,Protection",Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-agir/ouvrir-les-donnees-une-obligation-legale,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour agir,"Fiches pédagogiques - mettre à jour ?
",
Ouvrir les données pour l’innovation économique,,"Innovation,Transformation ","Partage,Réutilisation",Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-agir/ouvrir-les-donnees-pour-linnovation-economique,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour agir,"Fiches pédagogiques - mettre à jour ?
",
Ouvrir les données pour la démocratie,,"Transparence,Conformité","Partage,Valorisation",Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-agir/ouvrir-les-donnees-pour-la-democratie,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour agir,"Fiches pédagogiques - mettre à jour ?
",
Ouvrir les données pour la modernisation de l’action publique,,"Transformation ,Pilotage Politiques Publiques",Partage,Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-agir/ouvrir-les-donnees-pour-la-modernisation-de-laction-publique,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour agir,"Fiches pédagogiques - mettre à jour ?
",
Préparer les données pour une publication en open data,,"Confiance,Gouvernance des données","Qualité,Partage",Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/preparer-les-donnees-pour-une-publication-en-open-data,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - faire le lien avec SCDL,
Prestataires Conseil en opendata,,Gouvernance des données,Organisation,Produire,https://opendatafrance.gitbook.io/odl-ressources/references/prestataires-conseil-en-opendata,Guides / web,OpenDataFrance,ODL - Liste de prestataires,Liste de prestataires à mettre à jour,
Produire un fichier CSV de qualité,,Gouvernance des données,Qualité,Produire,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/premiers-pas/produire-un-fichier-csv-de-qualite,Guides / web,OpenDataFrance,ODL - Fiches pratiques - Premiers pas,Fiches pratiques - mettre à jour ?,
Socle Commun des Données Locales,Données prioritaires normalisées,"Conformité,Confiance,Innovation,Gouvernance des données","Qualité,Réutilisation",Produire,https://schema.data.gouv.fr/schemas.html?q=&label=Socle%20Commun%20des%20Données%20Locales,Outils,OpenDataFrance,OpenDataFactory,A jour (2022),Mars 2022
"Transparence, Concertation, Observatoire",,Transparence,Partage,Comprendre,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/concertation-publique,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",
Validata,Validateur des jeux de données standardisés,"Conformité,Confiance,Innovation,Gouvernance des données","Qualité,Réutilisation",Produire,https://validata.fr,Outils,OpenDataFrance,OpenDataFactory,A jour (2022),Mars 2022
