id_odf,siren,nom,type,adress,url_ptf,nb_ptf,url_datagouv,nb_datagouv,id_datagouv,merge,tranche_ptf,platform_clean,orga,tags,id_ods,depcode,dep_label,regcode,reg_code_short,reg_code_geo,pop_insee,tranche_pop,lat,lon,text
odf_210400016,210400016,AIGLUN,COM,Av des Docteurs P et M Jouve 04510 Aiglun,https://trouver.datasud.fr/organization/commune-daiglun-04,4,,,,ptf,d_1_5,CKAN,Data Sud,Culture-Administratif,,04,Alpes-de-Haute-Provence,PAC-93,PAC,93,1384,p_1_5,44.050292,6.14253,"<p>L'organisation AIGLUN est une commune et se situe dans le département 04 (Alpes-de-Haute-Provence) en région Provence-Alpes-Côte-d’Azur. Cette commune représente une population de 1384 habitants</p><br><p>AIGLUN publie uniquement sur un portail local avec une plateforme de type CKAN.</p><br><p>Cette organisation a publié 4 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://trouver.datasud.fr/organization/commune-daiglun-04'> la plateforme de AIGLUN</a>.</p><br><p>Adresse : Av des Docteurs P et M Jouve 04510 Aiglun.</p><br><p>N° de SIREN : 210400016.</p><br>"
odf_404453110,404453110,AIR BREIZH,OACT,3 Rue du Bosphore 35200 Rennes,http://data.airbreizh.asso.fr/geonetwork/srv/fre/catalog.search#/search?facet.q=type%2Fdataset,29,,12,,ptf,d_26_50,GeoNetwork,Data Air Breizh,Environnement,,35,Ille-et-Vilaine,BRE-53,BRE,53,,p_na,48.082566,-1.680064,"<p>L'organisation AIR BREIZH est un organisme associé de collectivité territoriale et se situe dans le département 35 (Ille-et-Vilaine) en région Bretagne. </p><br><p>AIR BREIZH publie uniquement sur un portail local avec une plateforme de type GeoNetwork.</p><br><p>Cette organisation a publié 29 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='http://data.airbreizh.asso.fr/geonetwork/srv/fre/catalog.search#/search?facet.q=type%2Fdataset'> la plateforme de AIR BREIZH</a>.</p><br><p>Adresse : 3 Rue du Bosphore 35200 Rennes.</p><br><p>N° de SIREN : 404453110.</p><br>"
odf_220100010,220100010,AIN,DEP,45 Avenue Alsace Lorraine 01000 Bourg-en-Bresse,http://departement-ain.opendata.arcgis.com/datasets?source=D%C3%A9partement%20de%20l%27Ain,39,https://www.data.gouv.fr/fr/organizations/5851009688ee3870fbc65bb3,3,5851009688ee3870fbc65bb3,ptf+datagouv,d_51_100,ArcGIS,Opendata Ain,Environnement-Urbanisme-Transport,,01,Ain,ARA-84,ARA,84,653688,p_500_1000,46.202432,5.223768,"<p>L'organisation AIN est un département. Ce département représente une population de 653688 habitants</p><br><p>AIN publie sur un portail local et sur data.gouv avec une plateforme de type ArcGis.</p><br><p>Cette organisation a publié 51 jeux de données : 39 jeux de données sur sa plateforme et 12 jeux de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='http://departement-ain.opendata.arcgis.com/datasets?source=D%C3%A9partement%20de%20l%27Ain'> la plateforme de AIN</a> ou sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/5851009688ee3870fbc65bb3'> sa page sur datagouv</a>.</p><br><p>Adresse : 45 Avenue Alsace Lorraine 01000 Bourg-en-Bresse.</p><br><p>N° de SIREN : 220100010.</p><br>"
odf_216400119,216400119,AINCILE,COM,64220 AINCILLE,,,https://www.data.gouv.fr/fr/organizations/aincille/,10,,datagouv,d_1_5,DataGouv,DataGouv,Equipements,,64,Pyrénées-Atlantiques,NAQ-75,NAQ,75,114,na,43.1444852,-1.1946692,"<p>L'organisation AINCILE est une commune et se situe dans le département 64 (Pyrénées-Atlantiques) en région Nouvelle-Aquitaine. Cette commune représente une population de 114 habitants</p><br><p>AINCILE publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 3 jeux de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/aincille/'> sa page sur datagouv</a>.</p><br><p>Adresse : 64220 AINCILLE.</p><br><p>N° de SIREN : 216400119.</p><br>"
odf_323266205,323266205,AIR PAYS DE LA LOIRE,OACT,5 Rue Edouard Nignon 44300 Nantes,https://data.airpl.org/geonetwork/srv/fre/catalog.search#/search?facet.q=type%2Fdataset,28,https://www.data.gouv.fr/fr/organizations/534fff53a3a7292c64a77cd7/,1,534fff53a3a7292c64a77cd7,ptf+datagouv,d_26_50,GeoNetwork,Data Air Pays de la Loire,Environnement,,44,Loire-Atlantique,PDL-52,PDL,52,,p_na,47.276235,-1.511075,"<p>L'organisation AIR PAYS DE LA LOIRE est un organisme associé de collectivité territoriale et se situe dans le département 44 (Loire-Atlantique) en région Pays-de-la-Loire. </p><br><p>AIR PAYS DE LA LOIRE publie sur un portail local et sur data.gouv avec une plateforme de type GeoNetwork.</p><br><p>Cette organisation a publié 38 jeux de données : 28 jeux de données sur sa plateforme et 10 jeux de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://data.airpl.org/geonetwork/srv/fre/catalog.search#/search?facet.q=type%2Fdataset'> la plateforme de AIR PAYS DE LA LOIRE</a> ou sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/534fff53a3a7292c64a77cd7/'> sa page sur datagouv</a>.</p><br><p>Adresse : 5 Rue Edouard Nignon 44300 Nantes.</p><br><p>N° de SIREN : 323266205.</p><br>"
odf_216400143,216400143,AINHOA,COM,64250 AINHOA,,,https://www.data.gouv.fr/fr/organizations/commune-dainhoa/,1,5d4834076f444118283abfcf,datagouv,d_1_5,DataGouv,DataGouv,Equipements,,64,Pyrénées-Atlantiques,NAQ-75,NAQ,75,671,na,43.3064899,-1.4985315,"<p>L'organisation AINHOA est une commune et se situe dans le département 64 (Pyrénées-Atlantiques) en région Nouvelle-Aquitaine. Cette commune représente une population de 671 habitants</p><br><p>AINHOA publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 1 jeu de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/commune-dainhoa/'> sa page sur datagouv</a>.</p><br><p>Adresse : 64250 AINHOA.</p><br><p>N° de SIREN : 216400143.</p><br>"
odf_214000010,214000010,AIRE SUR L'ADOUR,COM,Place du General de Gaulle 40800 Aire-sur-l'Adour,,,https://www.data.gouv.fr/fr/organizations/5b9a1371634f417f35dc4a7c/,,5b9a1371634f417f35dc4a7c,datagouv,d_1_5,DataGouv,DataGouv,Equipements,,40,Landes,NAQ-75,NAQ,75,6099,p_5_10,43.702303,-0.262221,"<p>L'organisation AIRE SUR L'ADOUR est une commune et se situe dans le département 40 (Landes) en région Nouvelle-Aquitaine. Cette commune représente une population de 6099 habitants</p><br><p>AIRE SUR L'ADOUR publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 1 jeu de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/5b9a1371634f417f35dc4a7c/'> sa page sur datagouv</a>.</p><br><p>Adresse : Place du General de Gaulle 40800 Aire-sur-l'Adour.</p><br><p>N° de SIREN : 214000010.</p><br>"
odf_211300017,211300017,AIX EN PROVENCE,COM,Place de l’Hotel de Ville 13100 Aix-en-Provence,https://aix-en-provence.opendatasoft.com/explore/?sort=modified&refine.publisher=Ville+d%27Aix+en+Provence,3,,,,ptf,d_1_5,OpenDataSoft,Aix en Provence Open Data,Administratif,Ville d'Aix en Provence,13,Bouches-du-Rhône,PAC-93,PAC,93,143006,p_100_250,43.529931,5.447869,"<p>L'organisation AIX EN PROVENCE est une commune et se situe dans le département 13 (Bouches-du-Rhône) en région Provence-Alpes-Côte-d’Azur. Cette commune représente une population de 143006 habitants</p><br><p>AIX EN PROVENCE publie uniquement sur un portail local avec une plateforme de type OpenDataSoft.</p><br><p>Cette organisation a publié 3 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://aix-en-provence.opendatasoft.com/explore/?sort=modified&refine.publisher=Ville+d%27Aix+en+Provence'> la plateforme de AIX EN PROVENCE</a>.</p><br><p>Adresse : Place de l’Hotel de Ville 13100 Aix-en-Provence.</p><br><p>N° de SIREN : 211300017.</p><br>"
odf_392178570,392178570,AGENCE DE TOURISME DE LA CORSE,OACT,17 Boulevard du Roi Jerome 20000 Ajaccio,https://www.data.corsica/explore/?refine.publisher=Agence+de+Tourisme+de+la+Corse,14,,13,,ptf,d_11_25,OpenDataSoft,Data Corsica,Tourisme,Agence de Tourisme de la Corse,2A,Corse-du-Sud,COR-94,COR,94,,p_na,41.921557,8.739033,"<p>L'organisation AGENCE DE TOURISME DE LA CORSE est un organisme associé de collectivité territoriale et se situe dans le département 2A (Corse-du-Sud) en région Corse. </p><br><p>AGENCE DE TOURISME DE LA CORSE publie uniquement sur un portail local avec une plateforme de type OpenDataSoft.</p><br><p>Cette organisation a publié 14 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.corsica/explore/?refine.publisher=Agence+de+Tourisme+de+la+Corse'> la plateforme de AGENCE DE TOURISME DE LA CORSE</a>.</p><br><p>Adresse : 17 Boulevard du Roi Jerome 20000 Ajaccio.</p><br><p>N° de SIREN : 392178570.</p><br>"
odf_316465236,316465236,AIRPARIF,OACT,7 Rue Crillon 75004 Paris,https://data-airparif-asso.opendata.arcgis.com/datasets,161,https://www.data.gouv.fr/fr/organizations/5a4381adc751df74bae4627d/,1,5a4381adc751df74bae4627d,ptf+datagouv,d_101_250,ArcGIS,Data Airparif,Environnement,,75,Paris,IDF-11,IDF,11,,p_na,48.848962,2.36528,"<p>L'organisation AIRPARIF est un organisme associé de collectivité territoriale et se situe dans le département 75 (Paris) en région Île-de-France. </p><br><p>AIRPARIF publie sur un portail local et sur data.gouv avec une plateforme de type ArcGis.</p><br><p>Cette organisation a publié 174 jeux de données : 161 jeux de données sur sa plateforme et 13 jeux de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://data-airparif-asso.opendata.arcgis.com/datasets'> la plateforme de AIRPARIF</a> ou sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/5a4381adc751df74bae4627d/'> sa page sur datagouv</a>.</p><br><p>Adresse : 7 Rue Crillon 75004 Paris.</p><br><p>N° de SIREN : 316465236.</p><br>"
odf_217300086,217300086,AIX LES BAINS,COM,Place Maurice Mollard 73100 Aix-les-Bains,,,https://www.data.gouv.fr/fr/organizations/5ab9e75188ee387964e77c2b/,,5ab9e75188ee387964e77c2b,datagouv,d_1_5,DataGouv,DataGouv,Citoyenneté,,73,Savoie,ARA-84,ARA,84,30291,p_25_50,45.688567,5.915634,"<p>L'organisation AIX LES BAINS est une commune et se situe dans le département 73 (Savoie) en région Auvergne-Rhône-Alpes. Cette commune représente une population de 30291 habitants</p><br><p>AIX LES BAINS publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 1 jeu de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/5ab9e75188ee387964e77c2b/'> sa page sur datagouv</a>.</p><br><p>Adresse : Place Maurice Mollard 73100 Aix-les-Bains.</p><br><p>N° de SIREN : 217300086.</p><br>"
odf_218100048,218100048,ALBI,COM,16 Rue de l’Hôtel de Ville 81000 Albi,https://opendata.mairie-albi.fr/dataset?q=,24,,1,,ptf,d_11_25,CKAN,Opendata Albi,Administratif-Culture-Santé-Transport-Citoyenneté-Environnement-Equipements,,81,Tarn,OCC-76,OCC,76,48970,p_25_50,43.927146,2.146534,"<p>L'organisation ALBI est une commune et se situe dans le département 81 (Tarn) en région Occitanie. Cette commune représente une population de 48970 habitants</p><br><p>ALBI publie uniquement sur un portail local avec une plateforme de type CKAN.</p><br><p>Cette organisation a publié 24 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://opendata.mairie-albi.fr/dataset?q='> la plateforme de ALBI</a>.</p><br><p>Adresse : 16 Rue de l’Hôtel de Ville 81000 Albi.</p><br><p>N° de SIREN : 218100048.</p><br>"
odf_218700102,218700102,AIXE SUR VIENNE,COM,44 Avenue du Président Wilson 87700 Aixe-sur-Vienne,,,https://www.data.gouv.fr/fr/organizations/commune-daixe-sur-vienne/,1,,datagouv,d_1_5,DataGouv,DataGouv,Equipements,,87,Haute-Vienne,NAQ-75,NAQ,75,5820,p_5_10,45.796673,1.136187,"<p>L'organisation AIXE SUR VIENNE est une commune et se situe dans le département 87 (Haute-Vienne) en région Nouvelle-Aquitaine. Cette commune représente une population de 5820 habitants</p><br><p>AIXE SUR VIENNE publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 1 jeu de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/commune-daixe-sur-vienne/'> sa page sur datagouv</a>.</p><br><p>Adresse : 44 Avenue du Président Wilson 87700 Aixe-sur-Vienne.</p><br><p>N° de SIREN : 218700102.</p><br>"
odf_215600016,215600016,ALLAIRE,COM,Bande de la Mehaterie 56350 Allaire,,,https://www.data.gouv.fr/fr/organizations/5a1d2901c751df5e50300f1c,,5a1d2901c751df5e50300f1c,datagouv,d_1_5,DataGouv,DataGouv,Administratif,,56,Morbihan,BRE-53,BRE,53,3902,p_1_5,47.659155,-2.184954,"<p>L'organisation ALLAIRE est une commune et se situe dans le département 56 (Morbihan) en région Bretagne. Cette commune représente une population de 3902 habitants</p><br><p>ALLAIRE publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 1 jeu de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/5a1d2901c751df5e50300f1c'> sa page sur datagouv</a>.</p><br><p>Adresse : Bande de la Mehaterie 56350 Allaire.</p><br><p>N° de SIREN : 215600016.</p><br>"
odf_287500052,287500052,AGENCE DES ESPACES VERTS ILE DE FRANCE,OACT,90 Avenue du Général Leclerc 93500 Pantin,https://data.iledefrance.fr/explore/?sort=modified&refine.publisher=Agence+des+espaces+verts+d%27%C3%8Ele+de+France+(AEV),23,,,,ptf,d_11_25,OpenDataSoft,Data Ile de France,Environnement-Equipements,Agence des espaces verts d'Île de France (AEV),93,Seine-Saint-Denis,IDF-11,IDF,11,,p_na,48.896651,2.402616,"<p>L'organisation AGENCE DES ESPACES VERTS ILE DE FRANCE est un organisme associé de collectivité territoriale et se situe dans le département 93 (Seine-Saint-Denis) en région Île-de-France. </p><br><p>AGENCE DES ESPACES VERTS ILE DE FRANCE publie uniquement sur un portail local avec une plateforme de type OpenDataSoft.</p><br><p>Cette organisation a publié 23 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://data.iledefrance.fr/explore/?sort=modified&refine.publisher=Agence+des+espaces+verts+d%27%C3%8Ele+de+France+(AEV)'> la plateforme de AGENCE DES ESPACES VERTS ILE DE FRANCE</a>.</p><br><p>Adresse : 90 Avenue du Général Leclerc 93500 Pantin.</p><br><p>N° de SIREN : 287500052.</p><br>"
odf_220400014,220400014,ALPES DE HAUTE PROVENCE,DEP,13 Avenue du Docteur Romieu 04000 Digne-les-Bains,https://trouver.datasud.fr/organization/conseil-departemental-des-alpes-de-haute-provence,34,,24,,ptf,d_26_50,CKAN,Data Sud,Culture-Citoyenneté-Administratif-Environnement-Sports-Equipements,,04,Alpes-de-Haute-Provence,PAC-93,PAC,93,161980,p_100_250,44.091996,6.237268,"<p>L'organisation ALPES DE HAUTE PROVENCE est un département. Ce département représente une population de 161980 habitants</p><br><p>ALPES DE HAUTE PROVENCE publie uniquement sur un portail local avec une plateforme de type CKAN.</p><br><p>Cette organisation a publié 34 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://trouver.datasud.fr/organization/conseil-departemental-des-alpes-de-haute-provence'> la plateforme de ALPES DE HAUTE PROVENCE</a>.</p><br><p>Adresse : 13 Avenue du Docteur Romieu 04000 Digne-les-Bains.</p><br><p>N° de SIREN : 220400014.</p><br>"
