Nom,Domaine(s),Présentation,Statut juridique,Région(s),Numéro SIREN,URL fiche URSCOP,Adresse,Adhérent CoopTech,Notes
Confluence Conseil,,Conseil et assistance dans le domaine des systèmes et logiciels informatiques.,SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/confluence-conseil?field_code_naf=&field_depart=1384&field_secteur_activite_structure=1875&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Coopgo,,la société coopérative poursuite comme objectif principal la recherche d'une utilité sociale. cet objectif se réalise notamment à travers les...,SCOP,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/coopgo,,,
Dalibo,,Prestations de services informatiques.,SCOP,Île-de-France (FR),,https://www.les-scop.coop/dalibo?page=8,,,
Datakit,,"Programmation, informatique, fabrication et vente de logiciels d'échange de données.",SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/datakit,,,
Deltacad,,"Réalisation et commercialisation de produits informatiques techniques.Développement de logiciel spécifique en CAO, calcul, gestion de données...",SCOP,Hauts-de-France (FR),,https://www.les-scop.coop/deltacad?federation=federations/3/&field_code_naf=&page=7,,,
Devcoop,,Prestation de sercices en ingénierie informatique.,SCOP,Nouvelle-Aquitaine (FR),,https://www.les-scop.coop/devcoop?field_code_naf_target_id=&page=4,,,
Diademe Ingénierie,,Programmation informatique (6201Z),SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/diademe-ingenierie?federation=federations/3/&field_code_naf=&page=7,,,
Digicoop,,"Conception, réalisation et commercialisation de produits et services numériques innovants.",SCOP,Île-de-France (FR),,https://www.les-scop.coop/digicoop?field_code_naf=&field_depart=1456&field_secteur_activite_structure=All&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Digitanie,,"Réalisation de logiciels, communication numérique, site internet, conseil en génie logiciel. Design et P.A.O",SCOP,Occitanie (FR),,https://www.les-scop.coop/digitanie?field_code_naf_target_id=&page=4,,,
Dixquinze,,"Impression images, photos, supports",SCOP,Île-de-France (FR),,https://www.les-scop.coop/dixquinze?page=7,,,
Débutant-E Accepté-E,,Développement informatique,SCOP,Bourgogne-Franche-Comté (FR),,https://www.les-scop.coop/debutant-e-accepte-e?page=13,,,
E-Cosi,,"Conseil en systemes et logiciels informatiques, services numeriques.",SCOP,Pays de la Loire (FR),,https://www.les-scop.coop/e-cosi?field_code_naf=&field_depart=All&field_secteur_activite_structure=1879&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
E-Learning Touch',,"Ingenierie pédagogique, conception d'outils multimédia, prestations de services dans le domaine de l'Internet, formation des acteurs aux usages de l...",SCOP,Bretagne (FR),,https://www.les-scop.coop/e-learning-touch,,,
Emerix,,"Dépannage, vente, installation, maintenance de système informatique et réseaux.",SCOP,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/emerix,,,
Empreinte Digitale,,Solutions numériques responsables /digital,SCOP,Pays de la Loire (FR),,https://www.les-scop.coop/empreinte-digitale,,,
Enovalp,,Conseil en sytèmes et services informatiques.,SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/enovalp?field_code_naf=&field_depart=1383&field_secteur_activite_structure=1868&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Entr'Ouvert,,Conseil programation informatique,SCOP,Île-de-France (FR),,https://www.les-scop.coop/entr-ouvert?field_code_naf=&field_secteur_activite_structure=1874&page=3,,,
Espri Digital,,"Création, fabrication, commercialisation et vente de produits, services et prestations de conseil liés à l'informatisation et l'automatisation.",SCOP,Normandie (FR),,https://www.les-scop.coop/espri-digital?federation=federations/3/&field_code_naf=&page=39,,,
Etyssa,,Création et gestion de plateforme de mise en relation des habitants pour les collectivités locales.,SCOP,Île-de-France (FR),,https://www.les-scop.coop/etyssa,,,
Exantis Informatique,,"Equipement pour le traitement de l'information pour les ordinateurs et leurs périphériques, service d'installation et de maintenance informatique.",SCOP,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/exantis-informatique?field_code_naf_target_id=&page=23,,,
Expertise Technologies Maintenance Informatique,,"Prestation de service, conseils, formation, vente de matériels, logiciels informatiques.",SCOP,Normandie (FR),,https://www.les-scop.coop/expertise-technologies-maintenance-informatique?field_code_naf=&field_secteur_activite_structure=1872&page=2,,,
Explo-It,,Conseil en systèmes et logiciels informatiques.,SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/explo-it,,,
Fairness,,"Etude, conseil, accompagnement, organisation et suivi de projets informatiques et nouvelles technologies. Création et développement de sites internet...",SCOP,Île-de-France (FR),,https://www.les-scop.coop/fairness?page=4,,,
Feelu,,"Développement de logiciel, d'applications, de plateformes, création de support de communication. Animation de rencontres, formation, consulting",SCOP,Occitanie (FR),,https://www.les-scop.coop/feelu?federation=federations/3/&field_code_naf=&page=7,,,
Gefiscope,,Société de service-conseil informatique.,SCOP,Nouvelle-Aquitaine (FR),,https://www.les-scop.coop/gefiscope?page=3,,,
Happyculture,,"Développement sites internet, Conseil/Accompagnement, formation.",SCOP,Île-de-France (FR),,https://www.les-scop.coop/happyculture?federation=federations/3/&field_code_naf=&page=41,,,
Hashbang,,"Services de conseil, d'ingénierie, de développement logiciels, d'hébergement, de maintenance (SAV) et de formation dans les domaines de l'informatique...",SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/hashbang,,,
Heredis,,Editeur de logiciels de généalogie.,SCOP,Occitanie (FR),,https://www.les-scop.coop/heredis,,,
Hizkia,,"Conception, développement , commercialisation de toute application informatique ou linguistique, formation achat,vente de matériel",SCOP,Nouvelle-Aquitaine (FR),,https://www.les-scop.coop/hizkia?page=7,,,
Hupstream,,"Conseil, ingénierie, production informatique, logiciels libres",SCOP,Île-de-France (FR),,https://www.les-scop.coop/hupstream?field_code_naf=&field_secteur_activite_structure=1867&page=6,,,
Hyco,,Édition de logiciel et prestations d’accompagnement à leur mise en place,SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/hyco?field_code_naf_target_id=&page=4,,,
Id Nouvelles,,"Assistance technique, conseil, ingénierie, développement, vente, formation, traduction, documentation, prestations de services en informatique...",SCOP,Île-de-France (FR),,https://www.les-scop.coop/id-nouvelles,,,
Impulsion Digitale Rh,,"Audit, services, accompagnement et ingénierie.",SCOP,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/impulsion-digitale-rh?page=13,,,
Incaya,,"Assistance à maîtrise d'ouvrage, veille et innovation technique. Réalisation de prototypes logiciels et matériels pour projets scientifiques...",SCOP,Île-de-France (FR),,https://www.les-scop.coop/incaya?field_code_naf=&field_depart=All&field_secteur_activite_structure=1879&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Infologis,,"Développement, mise au point et vente de tous logiciels informatisés liés au domaine du service à la personne au domicile.",SCOP,Centre-Val de Loire (FR),,https://www.les-scop.coop/infologis,,,
Insiders.Coop,,Coopérative de Service en Informatique décisionnelle et gestion de données,SCOP,Île-de-France (FR),,https://www.les-scop.coop/insiderscoop?field_code_naf=&page=13&selector=.js-view-dom-id-2587f8e44cf9c3af95fdb218b23fa72a45fe0c881655bd3c3bd46c231dcf11c6,,,
Insite,,"Création, maintenance, et promotion de serveurs web ; la location et la revente de matériels et de logiciels informatiques, le...",SCOP,Hauts-de-France (FR),,https://www.les-scop.coop/insite,,,
Intis,,Cabinet de conseil pour la performance.,SCOP,Île-de-France (FR),,https://www.les-scop.coop/intis?page=4,,,
Inventiv It,,Conseil dans les technologies de l'information.,SCOP,Île-de-France (FR),,https://www.les-scop.coop/inventiv-it?field_code_naf_target_id=&page=4,,,
Jolly Rogers Productions,,Production audiovisuelle et jeux vidéo,SCOP,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/jolly-rogers-productions?federation=federations/3/&field_code_naf=&page=41,,,
Kalimetrix,,"Réalisation et vente de logiciels, prestation de services en informatique, commercialisation de tous systèmes informatiques, formation informatique.",SCOP,Occitanie (FR),,https://www.les-scop.coop/kalimetrix?field_code_naf=&field_depart=All&field_secteur_activite_structure=1874&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Kapei,,Société de services et d'ingénierie en informatique,SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/kapei,,,
Kauriweb,,"Agence de communication, conception et réalisation de sites internet et d'applications multimédia, formation et conseil en entreprises, maintenance...",SCOP,Occitanie (FR),,https://www.les-scop.coop/kauriweb,,,
Kawagency,,Développement de solutions numériques : sites internet / e-commerce / applications mobiles et vidéos,SCOP,Grand Est (FR),,https://www.les-scop.coop/kawagency?field_code_naf_target_id=&page=4,,,
Kelis,,Conseil et développement de systèmes d'information.,SCOP,Hauts-de-France (FR),,https://www.les-scop.coop/kelis,,,
Kibatic,,"Prestation de tous services informatiques, développement, production de logiciels - Hébergement conseil informatique.",SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/kibatic?field_code_naf=&field_secteur_activite_structure=1874&page=3,,,
Kodyssee,,Développement Informatique,SCOP,Bretagne (FR),,https://www.les-scop.coop/kodyssee,,,
La Coopérative Des Internets,,Développement web,SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/la-cooperative-des-internets?field_code_naf=&field_depart=All&field_secteur_activite_structure=1875&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
La Poule Noire,,Création de produits vidéo-ludiques.,SCOP,Nouvelle-Aquitaine (FR),,https://www.les-scop.coop/la-poule-noire?page=4,,,
La Republique Du Clic (Lrdc),,Agence en stratégie digitale et e-commerce.,SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/la-republique-du-clic-lrdc,,,
Laetis Solutions Interactives,,"Laëtis est une SCOP de 17 personnes, basée à Arvieu en Aveyron. L’agence co-conçoit et construit des solutions interactives utiles à la vie de tous...",SCOP,Occitanie (FR),,https://www.les-scop.coop/laetis-solutions-interactives?field_code_naf=&field_depart=1383&field_secteur_activite_structure=1868&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Le Carré Numérique,,hébergement de données et applications en cloud privé,SCOP,Île-de-France (FR),,https://www.les-scop.coop/le-carre-numerique?page=4,,,
Le Filament,,La Société coopérative poursuit comme objectif principal la recherche d’une utilité sociale. L’utilité sociale de la coopérative se traduit au travers...,SCOP,Occitanie (FR),,https://www.les-scop.coop/le-filament?field_code_naf=&page=27,,,
Les Developpements Durables,,"Multimédia - Service en logiciel libre: conseil, developpement, formation, accompagnement et maintenance (support technique).",SCOP,Nouvelle-Aquitaine (FR),,https://www.les-scop.coop/les-developpements-durables?field_code_naf=&page=96&selector=.js-view-dom-id-952813ef72cf7de845e67dd7594fac5e5e15f570cfc9d3e977101415dd7f1763,,,
Les Octets Libres,,Programmation informatique.,SCOP,Bretagne (FR),,https://www.les-scop.coop/les-octets-libres?federation=federations/3/&field_code_naf=&page=41,,,
Libriciel,,"Financement et coordination du développement de logiciels libres métier à l'intention des collectivité territoriales, des administrations et des...",SCOP,Occitanie (FR),,https://www.les-scop.coop/libriciel?field_code_naf=&field_depart=1383&field_secteur_activite_structure=1868&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Logeas Informatique,,"Vente d’un logiciel de comptabilité et de gestion de fichiers LoGeAs WEB, formation et assistance, développements sur mesure",SCOP,Occitanie (FR),,https://www.les-scop.coop/logeas-informatique?field_code_naf=&field_depart=All&field_secteur_activite_structure=All&field_type_de_cooperative=All&locality=&search_api_fulltext=24%20e,,,
Lovnyweb,,communication online,SCOP,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/lovnyweb?federation=federations/3/&field_code_naf=&page=41,,,
Majerti,,Informatique et ingénierie des systèmes d'information.,SCOP,Bourgogne-Franche-Comté (FR),,https://www.les-scop.coop/majerti?page=4,,,
Makewaves,,"Conception et développement informatique, administration et maintenance de site internet et d'application mobile, création d'identités visuelles...",SCOP,Hauts-de-France (FR),,https://www.les-scop.coop/makewaves?page=4,,,
Mezcalito,,Prestations de services informatiques.,SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/mezcalito,,,
Motion Twin,SCOP,Nouvelle-Aquitaine (FR),Création multi-média.,https://www.les-scop.coop/motion-twin?field_code_naf_target_id=&page=4,,,,,
Multi,"web, data",Coopérative pour un numérique d'intérêt général,SCOP,Île-de-France (FR),830141321,,116 rue Dalayrac 94120 Fontenay-sous-Bois,non,
Nectar De Code,,"Conseil en informtique, développement d'applications, formation.",SCOP,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/nectar-de-code?field_code_naf=&field_depart=1401,,,
Nereide,,Société de service en logiciel libre spécialisée dans le développement de solutions de gestion pour les entreprises.,SCOP,Centre-Val de Loire (FR),,https://www.les-scop.coop/nereide?field_code_naf=&field_depart=1386&field_secteur_activite_structure=1876&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Nethik,,Création et gestion de tous produits liés à l'Internet.,SCOP,Occitanie (FR),,https://www.les-scop.coop/nethik,,,
Netmedia,,Multimédia - Réalisation et référencement de sites internet. Edition et communication tous supports.,SCOP,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/netmedia?field_code_naf=&field_depart=All&field_secteur_activite_structure=1874&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Neuronnexion,,"Toutes activités relevant de l'informatique en général, développement spécifique, formation, hébergement.",SCOP,Hauts-de-France (FR),,https://www.les-scop.coop/neuronnexion?field_code_naf_target_id=&page=18,,,
Noesya,,Développement Web.,SCOP,Nouvelle-Aquitaine (FR),,https://www.les-scop.coop/noesya?federation=federations/3/&field_code_naf=&page=41,,,
Novasys,,Planification et conception de systèmes informatiques intégrant les technologies de matériels des logiciels et des communications.,SCOP,Bretagne (FR),,https://www.les-scop.coop/novasys?federation=federations/3/&field_code_naf=&page=41,,,
Ochelys,,Le conseil et la conception des systèmes d'information.,SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/ochelys?field_code_naf_target_id=&page=4,,,
Olkoa,,Audit et conseil en organisation et système d'information.,SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/olkoa?field_code_naf=&field_depart=All&field_secteur_activite_structure=1874&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Openscop,,"Conseils, formations et prestations de services et technologie de l'information et de la communication (TIC) et accompagnateur d'usages numériques...",SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/openscop?field_code_naf=&page=11,,,
Owlnext,,Services informatiques,SCOP,Bourgogne-Franche-Comté (FR),,https://www.les-scop.coop/owlnext,,,
Pankzsoft,,développement et conseil en développement informatique,SCOP,Île-de-France (FR),,https://www.les-scop.coop/pankzsoft,,,
Partners Solution Informatique,,Prestations Informatiques. Infrastructure réseau et Télécom.,SCOP,Grand Est (FR),,https://www.les-scop.coop/partners-solution-informatique?page=5,,,
Pragma Peritus,,"Developpement sur mesure et maintenance de solutions informatiques, robotiques, organisationnelles pour le compte de clients et en compte propre...",SCOP,Île-de-France (FR),,https://www.les-scop.coop/pragma-peritus,,,
Praxinos,,"Développement de solutions logicielles sur Unreal Engine, à destination des industries du divertissement (cinéma d'animation et jeu vidéo).",SCOP,Grand Est (FR),,https://www.les-scop.coop/praxinos?field_code_naf=&field_depart=1424&field_secteur_activite_structure=All&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Probesys,,Prestataire de services en logiciels libres.,SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/probesys?field_code_naf=&field_depart=All&field_secteur_activite_structure=1872&field_type_de_cooperative=All&locality=PARIS&search_api_fulltext=,,,
Promethee Services,,Service infomatique.,SCOP,Île-de-France (FR),,https://www.les-scop.coop/promethee-services?page=7,,,
Provexi,,"Assistance, maitrise d’œuvre conseil et vente de logiciels, ingénieure.",SCOP,Grand Est (FR),,https://www.les-scop.coop/provexi?field_code_naf=&field_depart=All&field_secteur_activite_structure=1872&field_type_de_cooperative=All&locality=PARIS&search_api_fulltext=,,,
Proxi-Info,,"Maintenance, assistance informatique, développement de sites internet et d'applications et formation.",SCOP,Normandie (FR),,https://www.les-scop.coop/proxi-info,,,
Pythonian,,"Informatique : développement, info scientifique, formation.",SCOP,Île-de-France (FR),,https://www.les-scop.coop/pythonian?federation=federations/3/&field_code_naf=&page=4,,,
Radiko,,Bureau d'études informatique,SCOP,Île-de-France (FR),,https://www.les-scop.coop/radiko?field_code_naf=&field_depart=All&field_secteur_activite_structure=1874&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Rec Telecom,,tous travaux de télécomunication.,SCOP,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/rec-telecom?field_code_naf=&field_depart=1424&field_secteur_activite_structure=All&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Savadenn,,Conseil en systèmes et développement sur mesure de logiciels informatiques,SCOP,Bretagne (FR),,https://www.les-scop.coop/savadenn?field_code_naf=&field_depart=1424&field_secteur_activite_structure=All&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Scep,,DÉVELOPPEMENT LOGICIEL,SCOP,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/scep?federation=federations/3/&field_code_naf=&page=41,,,
Scop Data,,Conception etude rélisation de réseaux informatiques et télécommunication.,SCOP,Occitanie (FR),,https://www.les-scop.coop/scop-data,,,
Scop It,,"Prestation de service en informatique, conseil, développement de logiciel, gestion de projet et formation.",SCOP,Île-de-France (FR),,https://www.les-scop.coop/scop-it?field_code_naf=&field_secteur_activite_structure=1874&page=3,,,
Scopen,,Conseil et développement de solutions informatiques,SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/scopen?field_code_naf=&field_secteur_activite_structure=1872&page=2,,,
Scopika,,Conseil en création et gestion Internet - Création de sites internet et formation liée au multimédia,SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/scopika,,,
Scopopop,,"Etude, conseil, conception, audit et développement de projets informatiques.",SCOP,Île-de-France (FR),,https://www.les-scop.coop/scopopop,,,
Scopyleft,,Etude conseil accompagnement organisation et suivi de projets informatiques.,SCOP,Occitanie (FR),,https://www.les-scop.coop/scopyleft?field_code_naf_target_id=&page=4,,,
Seed By Seed,,Développement de jeux et applications interactives,SCOP,Nouvelle-Aquitaine (FR),,https://www.les-scop.coop/seed-by-seed?page=3,,,
Sepla Cooperative Des Tilleuls,,"Conception et production de services et supports de communication,de services informatiques et de systèmes d'information....",SCOP,Hauts-de-France (FR),,https://www.les-scop.coop/sepla-cooperative-des-tilleuls?field_code_naf=&field_depart=All&field_secteur_activite_structure=1866&field_type_de_cooperative=All&locality=LYON&search_api_fulltext=,,,
Sevme Informatique Et Services,,"Conception de matériel et logiciels pour la télégestion des réseaux de distribution de gaz, électricité et eau.",SCOP,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/sevme-informatique-et-services?field_code_naf=&page=96&selector=.js-view-dom-id-952813ef72cf7de845e67dd7594fac5e5e15f570cfc9d3e977101415dd7f1763,,,
Sigec,,"Conseils et études en organisation communication, informatique, bureautique, technologie de l'information. Editeur de logiciels pour les...",SCOP,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/sigec?field_code_naf=&page=27,,,
Sigilence Technologies,,Conseils en systèmes et logiciels informatiques,SCOP,Occitanie (FR),,https://www.les-scop.coop/sigilence-technologies?field_code_naf=&page=27,,,
Signes Et Formations,,"Conseil en système et logiciels informatiques, éditions de contenus pédagogiques multimédias, intérprétation-traduction en langue des signes français...",SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/signes-et-formations?field_code_naf=&field_depart=1456&field_secteur_activite_structure=All&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Simpi,,"Conseil et prestation, formation dans le domaine de l'informatique.",SCOP,Occitanie (FR),,https://www.les-scop.coop/simpi?field_code_naf=&field_depart=1851&field_secteur_activite_structure=All&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Spotlab,,"Agence digitale : développement de votre site ou application sur mesure ou à l’aide d’un CMS, définition de votre identité visuelle, stratégie de...",SCOP,Île-de-France (FR),,https://www.les-scop.coop/spotlab?page=4,,,
Studio 42°9,,"Communication tous supports, graphisme, développement de sites et applications Web marketing, réseaux sociaux, photographies, films vidéo, conseil...",SCOP,Corse (FR),,https://www.les-scop.coop/studio-42deg9,,,
Switch,,"Développement web, développement applicatif, développement mobile, conseil et expertise, formation en ces domaines.",SCOP,Île-de-France (FR),,https://www.les-scop.coop/switch?field_code_naf=&page=27,,,
Troizaire,,Editeur de logiciel web.,SCOP,Provence-Alpes-Côte d'Azur (FR),,https://www.les-scop.coop/troizaire?field_code_naf_target_id=&page=4,,,
Téléscoop,,"Participer à la construction d’un monde plus respectueux de l’humain et du vivant, par tous moyens et notamment via la conception et la mise à...",SCOP,Île-de-France (FR),,https://www.les-scop.coop/telescoop?page=15,,,
Ut7,,"• Développement de solutions pour la conduite de projets, l'ingénierie, l'élaboration de stratégies d'affaires et d'architecture des systèmes d...",SCOP,Île-de-France (FR),,https://www.les-scop.coop/ut7?field_code_naf=&field_depart=1456&field_secteur_activite_structure=All&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
Vodolis,,"Installateur en téléphonie, Opérateur, réseau informatique et courant faibles.",SCOP,Centre-Val de Loire (FR),,https://www.les-scop.coop/vodolis?field_code_naf=&field_depart=All&field_secteur_activite_structure=1874&field_type_de_cooperative=All&locality=&search_api_fulltext=,,,
W3B Experience Magnetic,,"Développement Web, conseil, conception, architecture logicielle et matérielle, support, hotline.",SCOP,Île-de-France (FR),,https://www.les-scop.coop/w3b-experience-magnetic?field_code_naf=&page=3,,,
Webu,,"Multimédia - Production, mise en oeuvre et développement de systèmes collaboratifs par internet.",SCOP,Auvergne-Rhône-Alpes (FR),,https://www.les-scop.coop/webu?page=7,,,
